station,valid,tmpc,dwpc,relh,drct,sknt,vsby
SBGR,2019-05-01 00:00,20.00,18.00,88.26,130.00,2.00,5.59
SBGR,2019-05-01 01:00,20.00,18.00,88.26,150.00,3.00,6.21
SBGR,2019-05-01 02:00,20.00,18.00,88.26,130.00,3.00,6.21
SBGR,2019-05-01 03:00,18.00,18.00,100.00,0.00,0.00,3.73
SBGR,2019-05-01 04:00,18.00,18.00,100.00,90.00,2.00,3.73
SBGR,2019-05-01 04:10,18.00,18.00,100.00,70.00,2.00,3.11
SBGR,2019-05-01 05:00,19.00,18.00,93.92,70.00,5.00,3.73
SBGR,2019-05-01 06:00,18.00,18.00,100.00,50.00,7.00,4.97
SBGR,2019-05-01 07:00,19.00,18.00,93.92,40.00,6.00,4.97
SBGR,2019-05-01 08:00,19.00,18.00,93.92,50.00,5.00,4.97
SBGR,2019-05-01 09:00,18.00,18.00,100.00,50.00,5.00,4.97
SBGR,2019-05-01 10:00,17.00,17.00,100.00,60.00,4.00,3.73
SBGR,2019-05-01 11:00,18.00,18.00,100.00,60.00,6.00,4.97
SBGR,2019-05-01 12:00,19.00,18.00,93.92,60.00,7.00,4.97
SBGR,2019-05-01 13:00,21.00,18.00,82.98,70.00,4.00,6.21
SBGR,2019-05-01 14:00,22.00,18.00,78.04,240.00,2.00,6.21
SBGR,2019-05-01 15:00,25.00,17.00,61.13,350.00,3.00,6.21
SBGR,2019-05-01 16:00,26.00,17.00,57.60,300.00,5.00,6.21
SBGR,2019-05-01 17:00,27.00,17.00,54.30,320.00,7.00,6.21
SBGR,2019-05-01 18:00,27.00,17.00,54.30,300.00,8.00,6.21
SBGR,2019-05-01 19:00,26.00,16.00,54.05,280.00,7.00,6.21
SBGR,2019-05-01 20:00,26.00,16.00,54.05,300.00,7.00,6.21
SBGR,2019-05-01 21:00,24.00,17.00,64.91,270.00,4.00,6.21
SBGR,2019-05-01 22:00,23.00,17.00,68.94,280.00,3.00,6.21
SBGR,2019-05-01 23:00,21.00,18.00,82.98,0.00,0.00,6.21
SBGR,2019-05-02 00:00,19.00,17.00,88.18,0.00,0.00,6.21
SBGR,2019-05-02 01:00,20.00,18.00,88.26,0.00,0.00,6.21
SBGR,2019-05-02 02:00,20.00,18.00,88.26,0.00,0.00,5.59
SBGR,2019-05-02 03:00,19.00,19.00,100.00,150.00,1.00,4.97
SBGR,2019-05-02 04:00,19.00,19.00,100.00,0.00,0.00,3.73
SBGR,2019-05-02 05:00,19.00,19.00,100.00,0.00,0.00,3.73
SBGR,2019-05-02 06:00,19.00,18.00,93.92,70.00,3.00,3.73
SBGR,2019-05-02 07:00,20.00,19.00,93.97,0.00,0.00,4.35
SBGR,2019-05-02 08:00,19.00,19.00,100.00,60.00,3.00,4.35
SBGR,2019-05-02 09:00,19.00,18.00,93.92,70.00,4.00,4.35
SBGR,2019-05-02 10:00,19.00,18.00,93.92,90.00,3.00,4.97
SBGR,2019-05-02 11:00,20.00,18.00,88.26,50.00,3.00,4.97
SBGR,2019-05-02 12:00,22.00,18.00,78.04,60.00,3.00,4.97
SBGR,2019-05-02 13:00,23.00,18.00,73.44,80.00,4.00,4.97
SBGR,2019-05-02 14:00,25.00,18.00,65.12,60.00,5.00,6.21
SBGR,2019-05-02 15:00,26.00,18.00,61.36,70.00,4.00,6.21
SBGR,2019-05-02 16:00,28.00,18.00,54.55,340.00,5.00,6.21
SBGR,2019-05-02 17:00,27.00,18.00,57.84,330.00,9.00,6.21
SBGR,2019-05-02 18:00,27.00,17.00,54.30,310.00,8.00,6.21
SBGR,2019-05-02 19:00,26.00,18.00,61.36,320.00,6.00,6.21
SBGR,2019-05-02 20:00,25.00,18.00,65.12,320.00,5.00,6.21
SBGR,2019-05-02 21:00,24.00,18.00,69.14,260.00,4.00,6.21
SBGR,2019-05-02 22:00,23.00,18.00,73.44,320.00,2.00,6.21
SBGR,2019-05-02 23:00,21.00,19.00,88.34,0.00,0.00,6.21
SBGR,2019-05-03 00:00,21.00,19.00,88.34,70.00,3.00,6.21
SBGR,2019-05-03 01:00,21.00,19.00,88.34,80.00,2.00,6.21
SBGR,2019-05-03 02:00,20.00,19.00,93.97,80.00,2.00,6.21
SBGR,2019-05-03 03:00,19.00,19.00,100.00,130.00,1.00,6.21
SBGR,2019-05-03 04:00,20.00,19.00,93.97,0.00,0.00,4.97
SBGR,2019-05-03 05:00,20.00,19.00,93.97,100.00,2.00,3.73
SBGR,2019-05-03 06:00,19.00,19.00,100.00,90.00,2.00,4.35
SBGR,2019-05-03 07:00,19.00,19.00,100.00,70.00,4.00,3.73
SBGR,2019-05-03 08:00,19.00,19.00,100.00,70.00,4.00,3.11
SBGR,2019-05-03 09:00,18.00,18.00,100.00,70.00,5.00,4.35
SBGR,2019-05-03 10:00,18.00,18.00,100.00,0.00,0.00,4.35
SBGR,2019-05-03 11:00,20.00,20.00,100.00,60.00,4.00,3.73
SBGR,2019-05-03 12:00,21.00,20.00,94.01,50.00,5.00,4.35
SBGR,2019-05-03 13:00,24.00,19.00,73.61,50.00,6.00,6.21
SBGR,2019-05-03 14:00,26.00,20.00,69.52,80.00,5.00,6.21
SBGR,2019-05-03 15:00,28.00,19.00,58.08,50.00,5.00,6.21
SBGR,2019-05-03 16:00,29.00,19.00,54.80,360.00,4.00,6.21
SBGR,2019-05-03 17:00,28.00,19.00,58.08,360.00,6.00,6.21
SBGR,2019-05-03 18:00,29.00,20.00,58.32,280.00,6.00,6.21
SBGR,2019-05-03 19:00,29.00,20.00,58.32,330.00,4.00,6.21
SBGR,2019-05-03 20:00,28.00,19.00,58.08,280.00,5.00,6.21
SBGR,2019-05-03 21:00,26.00,21.00,73.95,50.00,5.00,6.21
SBGR,2019-05-03 22:00,25.00,21.00,78.48,110.00,5.00,6.21
SBGR,2019-05-03 23:00,24.00,21.00,83.32,110.00,4.00,6.21
SBGR,2019-05-04 00:00,22.00,21.00,94.06,0.00,0.00,6.21
SBGR,2019-05-04 01:00,21.00,21.00,100.00,0.00,0.00,6.21
SBGR,2019-05-04 02:00,21.00,21.00,100.00,0.00,0.00,4.97
SBGR,2019-05-04 03:00,21.00,21.00,100.00,0.00,0.00,3.73
SBGR,2019-05-04 04:00,20.00,20.00,100.00,0.00,0.00,3.73
SBGR,2019-05-04 05:00,20.00,20.00,100.00,90.00,2.00,3.73
SBGR,2019-05-04 06:00,19.00,19.00,100.00,0.00,0.00,4.35
SBGR,2019-05-04 07:00,19.00,19.00,100.00,50.00,3.00,3.11
SBGR,2019-05-04 08:00,18.00,18.00,100.00,0.00,0.00,3.73
SBGR,2019-05-04 09:00,19.00,19.00,100.00,0.00,0.00,6.21
SBGR,2019-05-04 10:00,18.00,18.00,100.00,0.00,0.00,6.21
SBGR,2019-05-04 11:00,21.00,20.00,94.01,50.00,3.00,6.21
SBGR,2019-05-04 12:00,23.00,21.00,88.51,60.00,3.00,4.97
SBGR,2019-05-04 13:00,25.00,20.00,73.78,70.00,3.00,6.21
SBGR,2019-05-04 14:00,27.00,21.00,69.71,80.00,4.00,6.21
SBGR,2019-05-04 15:00,29.00,20.00,58.32,120.00,2.00,6.21
SBGR,2019-05-04 16:00,29.00,19.00,54.80,160.00,3.00,6.21
SBGR,2019-05-04 17:00,29.00,18.00,51.47,130.00,2.00,6.21
SBGR,2019-05-04 18:00,29.00,17.00,48.32,110.00,3.00,6.21
SBGR,2019-05-04 19:00,28.00,17.00,51.21,150.00,5.00,6.21
SBGR,2019-05-04 20:00,27.00,19.00,61.58,120.00,4.00,6.21
SBGR,2019-05-04 21:00,25.00,19.00,69.33,120.00,6.00,6.21
SBGR,2019-05-04 22:00,24.00,18.00,69.14,120.00,4.00,6.21
SBGR,2019-05-04 23:00,22.00,20.00,88.43,70.00,4.00,6.21
SBGR,2019-05-05 00:00,21.00,19.00,88.34,120.00,1.00,6.21
SBGR,2019-05-05 01:00,20.00,19.00,93.97,0.00,0.00,6.21
SBGR,2019-05-05 02:00,19.00,19.00,100.00,0.00,0.00,6.21
SBGR,2019-05-05 03:00,18.00,18.00,100.00,90.00,2.00,5.59
SBGR,2019-05-05 04:00,18.00,18.00,100.00,0.00,0.00,5.59
SBGR,2019-05-05 05:00,18.00,18.00,100.00,0.00,0.00,4.35
SBGR,2019-05-05 06:00,17.00,17.00,100.00,0.00,0.00,5.59
SBGR,2019-05-05 07:00,18.00,18.00,100.00,90.00,2.00,5.59
SBGR,2019-05-05 08:00,17.00,17.00,100.00,0.00,0.00,4.35
SBGR,2019-05-05 09:00,16.00,16.00,100.00,0.00,0.00,5.59
SBGR,2019-05-05 10:00,17.00,17.00,100.00,60.00,2.00,4.97
SBGR,2019-05-05 10:22,18.00,18.00,100.00,0.00,0.00,3.11
SBGR,2019-05-05 11:00,19.00,19.00,100.00,160.00,3.00,2.49
SBGR,2019-05-05 12:00,21.00,21.00,100.00,60.00,8.00,2.49
SBGR,2019-05-05 13:00,22.00,20.00,88.43,40.00,12.00,2.80
SBGR,2019-05-05 14:00,23.00,20.00,83.21,70.00,11.00,5.59
SBGR,2019-05-05 15:00,25.00,20.00,73.78,60.00,7.00,6.21
SBGR,2019-05-05 16:00,27.00,20.00,65.54,60.00,10.00,6.21
SBGR,2019-05-05 17:00,28.00,19.00,58.08,80.00,7.00,6.21
SBGR,2019-05-05 18:00,28.00,19.00,58.08,90.00,6.00,6.21
SBGR,2019-05-05 19:00,28.00,20.00,61.81,40.00,8.00,6.21
SBGR,2019-05-05 20:00,26.00,20.00,69.52,30.00,8.00,6.21
SBGR,2019-05-05 21:00,25.00,21.00,78.48,110.00,7.00,6.21
SBGR,2019-05-05 21:50,22.00,22.00,100.00,150.00,4.00,3.11
SBGR,2019-05-05 22:00,22.00,22.00,100.00,80.00,2.00,3.11
SBGR,2019-05-05 23:00,22.00,22.00,100.00,0.00,0.00,4.35
SBGR,2019-05-06 00:00,21.00,21.00,100.00,300.00,2.00,4.35
SBGR,2019-05-06 01:00,21.00,21.00,100.00,0.00,0.00,4.97
SBGR,2019-05-06 02:00,21.00,21.00,100.00,100.00,2.00,3.73
SBGR,2019-05-06 03:00,20.00,20.00,100.00,0.00,0.00,3.11
SBGR,2019-05-06 04:00,20.00,20.00,100.00,80.00,2.00,3.11
SBGR,2019-05-06 05:00,20.00,20.00,100.00,70.00,3.00,2.49
SBGR,2019-05-06 06:00,19.00,19.00,100.00,0.00,0.00,2.49
SBGR,2019-05-06 07:00,19.00,19.00,100.00,70.00,2.00,2.49
SBGR,2019-05-06 08:00,18.00,18.00,100.00,60.00,4.00,3.11
SBGR,2019-05-06 09:00,19.00,19.00,100.00,70.00,6.00,3.11
SBGR,2019-05-06 10:00,18.00,18.00,100.00,70.00,4.00,3.73
SBGR,2019-05-06 11:00,20.00,20.00,100.00,80.00,3.00,4.35
SBGR,2019-05-06 12:00,23.00,19.00,78.19,70.00,2.00,6.21
SBGR,2019-05-06 13:00,26.00,20.00,69.52,310.00,4.00,6.21
SBGR,2019-05-06 14:00,28.00,19.00,58.08,300.00,6.00,6.21
SBGR,2019-05-06 15:00,28.00,20.00,61.81,280.00,10.00,6.21
SBGR,2019-05-06 16:00,28.00,20.00,61.81,280.00,10.00,6.21
SBGR,2019-05-06 17:00,29.00,20.00,58.32,290.00,12.00,6.21
SBGR,2019-05-06 18:00,28.00,19.00,58.08,290.00,12.00,6.21
SBGR,2019-05-06 19:00,28.00,19.00,58.08,290.00,10.00,6.21
SBGR,2019-05-06 20:00,27.00,19.00,61.58,280.00,9.00,6.21
SBGR,2019-05-06 21:00,24.00,19.00,73.61,250.00,3.00,6.21
SBGR,2019-05-06 22:00,22.00,20.00,88.43,260.00,2.00,6.21
SBGR,2019-05-06 23:00,22.00,20.00,88.43,0.00,0.00,6.21
SBGR,2019-05-07 00:00,21.00,20.00,94.01,0.00,0.00,6.21
SBGR,2019-05-07 01:00,21.00,20.00,94.01,0.00,0.00,6.21
SBGR,2019-05-07 02:00,22.00,21.00,94.06,140.00,3.00,6.21
SBGR,2019-05-07 03:00,22.00,20.00,88.43,80.00,4.00,4.35
SBGR,2019-05-07 03:19,21.00,21.00,100.00,110.00,2.00,4.35
SBGR,2019-05-07 03:38,21.00,21.00,100.00,40.00,2.00,6.21
SBGR,2019-05-07 04:00,20.00,20.00,100.00,70.00,1.00,6.21
SBGR,2019-05-07 05:00,20.00,20.00,100.00,0.00,0.00,6.21
SBGR,2019-05-07 06:00,20.00,20.00,100.00,150.00,5.00,6.21
SBGR,2019-05-07 07:00,20.00,20.00,100.00,160.00,1.00,6.21
SBGR,2019-05-07 08:00,20.00,19.00,93.97,180.00,4.00,6.21
SBGR,2019-05-07 09:00,20.00,19.00,93.97,80.00,2.00,6.21
SBGR,2019-05-07 10:00,20.00,19.00,93.97,50.00,6.00,6.21
SBGR,2019-05-07 11:00,21.00,19.00,88.34,0.00,0.00,6.21
SBGR,2019-05-07 12:00,21.00,19.00,88.34,160.00,2.00,6.21
SBGR,2019-05-07 13:00,22.00,19.00,83.09,130.00,3.00,6.21
SBGR,2019-05-07 14:00,21.00,18.00,82.98,120.00,4.00,6.21
SBGR,2019-05-07 15:00,23.00,19.00,78.19,70.00,3.00,6.21
SBGR,2019-05-07 16:00,23.00,19.00,78.19,190.00,3.00,6.21
SBGR,2019-05-07 17:00,24.00,19.00,73.61,160.00,3.00,6.21
SBGR,2019-05-07 18:00,24.00,19.00,73.61,140.00,4.00,6.21
SBGR,2019-05-07 19:00,24.00,19.00,73.61,170.00,2.00,6.21
SBGR,2019-05-07 20:00,23.00,20.00,83.21,130.00,5.00,6.21
