station,valid,tmpc,dwpc,relh,drct,sknt,vsby
SBGR,2019-07-01 00:00,17.00,15.00,88.00,0.00,0.00,6.21
SBGR,2019-07-01 01:00,18.00,15.00,82.62,70.00,3.00,6.21
SBGR,2019-07-01 02:00,17.00,15.00,88.00,70.00,5.00,6.21
SBGR,2019-07-01 03:00,17.00,15.00,88.00,80.00,3.00,6.21
SBGR,2019-07-01 04:00,16.00,14.00,87.92,80.00,5.00,6.21
SBGR,2019-07-01 05:00,15.00,14.00,93.74,80.00,2.00,6.21
SBGR,2019-07-01 06:00,15.00,13.00,87.83,70.00,3.00,6.21
SBGR,2019-07-01 07:00,14.00,14.00,100.00,0.00,0.00,6.21
SBGR,2019-07-01 08:00,14.00,13.00,93.69,0.00,0.00,6.21
SBGR,2019-07-01 09:00,16.00,14.00,87.92,70.00,3.00,6.21
SBGR,2019-07-01 10:00,18.00,14.00,77.45,30.00,5.00,6.21
SBGR,2019-07-01 11:00,17.00,15.00,88.00,0.00,0.00,6.21
SBGR,2019-07-01 12:00,21.00,16.00,73.09,0.00,0.00,6.21
SBGR,2019-07-01 13:00,25.00,15.00,53.80,330.00,7.00,6.21
SBGR,2019-07-01 14:00,25.00,15.00,53.80,310.00,11.00,6.21
SBGR,2019-07-01 15:00,25.00,15.00,53.80,320.00,12.00,6.21
SBGR,2019-07-01 16:00,26.00,16.00,54.05,290.00,10.00,6.21
SBGR,2019-07-01 17:00,26.00,15.00,50.69,290.00,12.00,6.21
SBGR,2019-07-01 18:00,26.00,15.00,50.69,310.00,11.00,6.21
SBGR,2019-07-01 19:00,26.00,15.00,50.69,310.00,10.00,6.21
SBGR,2019-07-01 20:00,25.00,14.00,50.43,320.00,7.00,6.21
SBGR,2019-07-01 21:00,22.00,15.00,64.48,0.00,0.00,6.21
SBGR,2019-07-01 22:00,19.00,15.00,77.60,0.00,0.00,6.21
SBGR,2019-07-01 23:00,18.00,15.00,82.62,0.00,0.00,6.21
SBGR,2019-07-02 00:00,17.00,15.00,88.00,140.00,2.00,6.21
SBGR,2019-07-02 01:00,17.00,15.00,88.00,60.00,4.00,3.73
SBGR,2019-07-02 02:00,17.00,16.00,93.83,70.00,5.00,4.97
SBGR,2019-07-02 03:00,18.00,15.00,82.62,70.00,3.00,6.21
SBGR,2019-07-02 04:00,16.00,14.00,87.92,50.00,1.00,6.21
SBGR,2019-07-02 05:00,15.00,14.00,93.74,0.00,0.00,4.97
SBGR,2019-07-02 06:00,15.00,15.00,100.00,0.00,0.00,3.73
SBGR,2019-07-02 07:00,15.00,14.00,93.74,70.00,4.00,4.35
SBGR,2019-07-02 08:00,14.00,14.00,100.00,60.00,1.00,3.73
SBGR,2019-07-02 09:00,14.00,14.00,100.00,0.00,0.00,4.35
SBGR,2019-07-02 10:00,13.00,13.00,100.00,0.00,0.00,4.35
SBGR,2019-07-02 11:00,16.00,15.00,93.79,100.00,2.00,3.73
SBGR,2019-07-02 12:00,19.00,16.00,82.74,70.00,5.00,4.97
SBGR,2019-07-02 13:00,23.00,14.00,56.88,30.00,4.00,6.21
SBGR,2019-07-02 14:00,24.00,14.00,53.55,320.00,8.00,6.21
SBGR,2019-07-02 15:00,25.00,13.00,47.25,330.00,7.00,6.21
SBGR,2019-07-02 16:00,26.00,14.00,47.52,290.00,11.00,6.21
SBGR,2019-07-02 17:00,26.00,14.00,47.52,310.00,11.00,6.21
SBGR,2019-07-02 18:00,25.00,14.00,50.43,300.00,10.00,6.21
SBGR,2019-07-02 19:00,25.00,14.00,50.43,320.00,9.00,6.21
SBGR,2019-07-02 20:00,24.00,13.00,50.17,320.00,6.00,6.21
SBGR,2019-07-02 21:00,22.00,13.00,56.63,340.00,5.00,6.21
SBGR,2019-07-02 22:00,22.00,13.00,56.63,360.00,7.00,6.21
SBGR,2019-07-02 23:00,19.00,14.00,72.74,0.00,0.00,6.21
SBGR,2019-07-03 00:00,17.00,14.00,82.50,0.00,0.00,6.21
SBGR,2019-07-03 01:00,16.00,14.00,87.92,0.00,0.00,6.21
SBGR,2019-07-03 02:00,16.00,14.00,87.92,0.00,0.00,6.21
SBGR,2019-07-03 03:00,16.00,13.00,82.37,0.00,0.00,6.21
SBGR,2019-07-03 04:00,15.00,14.00,93.74,0.00,0.00,6.21
SBGR,2019-07-03 05:00,16.00,14.00,87.92,80.00,2.00,6.21
SBGR,2019-07-03 06:00,15.00,14.00,93.74,60.00,2.00,6.21
SBGR,2019-07-03 07:00,15.00,13.00,87.83,100.00,2.00,6.21
SBGR,2019-07-03 08:00,16.00,13.00,82.37,180.00,2.00,6.21
SBGR,2019-07-03 09:00,17.00,13.00,77.29,70.00,4.00,6.21
SBGR,2019-07-03 10:00,16.00,13.00,82.37,0.00,0.00,4.97
SBGR,2019-07-03 11:00,17.00,14.00,82.50,80.00,1.00,4.97
SBGR,2019-07-03 12:00,22.00,13.00,56.63,260.00,6.00,6.21
SBGR,2019-07-03 13:00,24.00,13.00,50.17,310.00,8.00,6.21
SBGR,2019-07-03 14:00,25.00,12.00,44.25,300.00,13.00,6.21
SBGR,2019-07-03 15:00,26.00,14.00,47.52,300.00,13.00,6.21
SBGR,2019-07-03 16:00,27.00,14.00,44.80,310.00,13.00,6.21
SBGR,2019-07-03 17:00,27.00,15.00,47.79,300.00,10.00,6.21
SBGR,2019-07-03 18:00,27.00,13.00,41.97,290.00,13.00,6.21
SBGR,2019-07-03 19:00,26.00,14.00,47.52,290.00,8.00,6.21
SBGR,2019-07-03 20:00,25.00,13.00,47.25,300.00,7.00,6.21
SBGR,2019-07-03 21:00,23.00,13.00,53.29,290.00,5.00,6.21
SBGR,2019-07-03 22:00,20.00,14.00,68.35,0.00,0.00,6.21
SBGR,2019-07-03 23:00,20.00,14.00,68.35,0.00,0.00,6.21
SBGR,2019-07-04 00:00,21.00,14.00,64.26,80.00,2.00,6.21
SBGR,2019-07-04 01:00,19.00,15.00,77.60,0.00,0.00,6.21
SBGR,2019-07-04 02:00,20.00,17.00,82.86,170.00,5.00,6.21
SBGR,2019-07-04 03:00,19.00,17.00,88.18,180.00,2.00,4.97
SBGR,2019-07-04 04:00,19.00,17.00,88.18,110.00,2.00,5.59
SBGR,2019-07-04 05:00,18.00,17.00,93.88,0.00,0.00,5.59
SBGR,2019-07-04 06:00,18.00,17.00,93.88,150.00,3.00,5.59
SBGR,2019-07-04 07:00,17.00,17.00,100.00,0.00,0.00,3.11
